breed_name,temperment,image,description,akc_rank,height,height_group,weight,weight_group,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Working Kelpie,"Alert, Eager, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15135603/Working-Kelpie.2.jpg,"The Working Kelpie is extremely alert, eager and highly intelligent. He possesses an open, friendly, active but placid disposition with a good balance between keenness to work and ability to relax. With an almost inexhaustible energy, the Working Kelpie has a marked loyalty and devotion to work and a strongly-inherited natural instinct and aptitude in working sheep and other livestock, both in open country and in the yards.",,19-25 inches,medium,28-60 pounds,lightweight,12-15 years,Foundation Stock Service,20%,60%,80%,40%,60%,"['Black', 'Blue', 'Fawn', 'Red']"
Bohemian Shepherd,"Friendly, Devoted, Alert and Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/25124156/Bohemian-Shepherd-outdoors.jpg,"The Bohemian Shepherd is an intelligent, lively, quick, athletic breed which enthusiastically welcomes most any activity introduced, making the breed rather versatile.",,19.3-20.5 inches,medium,37-53 pounds,middleweight,12-15 years,Foundation Stock Service,20%,40%,60%,80%,60%,['Black']
Norwegian Elkhound,"Friendly, Confident, Dependable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03123918/Norwegian-Elkhound-sitting-in-the-snow-looking-back-over-its-shoulder.jpg,The Norwegian Elkhound is a robust spitz type known for his lush silver-gray coat and dignified but friendly demeanor. The durable Elkhound is among Europe's oldest dogs. They sailed with the Vikings and figure in Norse art and legend.,Ranks 97 of 197,19.5 inches,medium,48 pounds,heavyweight,12-15 years,Hound Group,40%,60%,60%,60%,80%,"['Black & Gray', 'Black & Silver', 'Black White & Silver', 'Gray & Black', 'Gray Black & Silver', 'Silver & Black', 'Silver Gray & Black']"
Bearded Collie,"Smart, Bouncy, Charismatic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24142449/Bearded-Collie-standing-in-the-grass.jpg,"A boisterous and charismatic droving dog from Scotland, the shaggy-coated Bearded Collie (“Beardie” to his friends) enjoys outdoor exercise in all weather. Bred to be independent decision-makers, they can be willful but are always friendly.",Ranks 127 of 197,20-21 inches,large,45-55 pounds,heavyweight,12-14 years,Herding Group,80%,60%,60%,40%,100%,"['Black', 'Blue', 'Brown', 'Fawn', 'Black & Brown', 'Black & Tan', 'Black & White', 'Black Brown & White', 'Blue & Tan', 'Blue & White', 'Blue Gray & White', 'Brown & White', 'Gray', 'Gray & White', 'Liver & White', 'Red & Brown', 'White']"
Siberian Husky,"Loyal, Mischievous, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/26155623/Siberian-Husky-standing-outdoors-in-the-winter.jpg,"The Siberian Husky, a thickly coated, compact sled dog of medium size and great endurance, was developed to work in packs, pulling light loads at moderate speeds over vast frozen expanses. This northern breed is friendly, fastidious, and dignified.",Ranks 14 of 197,20-22 inches,large,35-50 pounds,middleweight,12-14 years,Working Group,40%,60%,80%,40%,80%,"['Agouti & White', 'Black', 'Black & White', 'Black Tan & White', 'Brown & White', 'Gray & White', 'Red & White', 'Sable & White', 'White']"
Wirehaired Pointing Griffon,"Friendly, Devoted, Trainable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17163651/Wirehaired-Pointing-Griffon-laying-in-a-field.jpg,"The hardworking Wirehaired Pointing Griffon, renowned as the “supreme gundog,” is known for the harsh, low-shedding coat the breed is named for. Outgoing, eager, and quick-witted, Griffs are incomparable in the field and loving at home.",Ranks 65 of 197,20-22 inches,large,35-50 pounds,middleweight,12-15 years,Sporting Group,40%,60%,100%,60%,60%,"['Brown & Gray', 'Chestnut & Gray', 'Brown', 'Chestnut', 'White', 'White & Brown', 'White & Orange']"
Plott Hound,"Loyal, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30140443/IMG_8947.jpg,"The Plott Hound, a hound with a curious name and a unique history, is a rugged, relentless hunting dog who is a mellow gentleman at home but fearless, implacable, and bold at work. This eye-catching scenthound is North Carolina's state dog.",Ranks 171 of 197,20-23 inches,large,40-55 pounds,middleweight,12-14 years,Hound Group,20%,40%,80%,40%,60%,"['Black', 'Black Brindle', 'Blue Brindle', 'Brown Brindle', 'Buckskin', 'Chocolate Brindle', 'Gray Brindle', 'Liver Brindle', 'Maltese', 'Orange Brindle', 'Red Brindle', 'Tan Brindle', 'Yellow Brindle']"
American Bulldog,"Loyal, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/14144341/American-Bulldog-standing-in-three-quarter-view.jpg,"American Bulldogs are a well-balanced athletic dog that demonstrate great strength, endurance, agility, and a friendly attitude. Historically, they were bred to be a utility dog used for working the farm.",,20-23 inches,large,60-80 pounds,super heavyweight,10-12 years,Foundation Stock Service,20%,60%,80%,60%,60%,"['White', 'White & Black', 'White & Brindle', 'White & Brown', 'White & Tan']"
Thai Ridgeback,"Loyal, Independent, Agile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22204051/Thai-Ridgeback.4.jpg,"The Thai Ridgeback is tough and active, with an excellent jumping ability. He is highly intelligent, has a strong survival instinct, and is a loyal family dog.",,20-24 inches,large,35-75 pounds,middleweight,12-13 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Black', 'Blue', 'Red', 'Yellow']"
Treeing Walker Coonhound,"Smart, Brave, Courteous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28154358/Treeing-Walker-Coonhound.jpg,"A smart, brave, and sensible hunter, the Treeing Walker Coonhound is a genuine American favorite, nicknamed ""The People’s Choice."" Don’t let the name fool you—Walkers are runners and are capable of covering a lot of ground in a hurry.",Ranks 137 of 197,20-25 inches,large,50-70 pounds,heavyweight,12-13 years,Hound Group,20%,60%,60%,40%,80%,"['Black', 'Tri-Colored', 'White']"
Small Munsterlander,"Intelligent, Devoted, Self-Confident",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/19190032/Munsterlander.5.jpg,"The Small Munsterlander is a versatile hunting dog and natural retriever with a medium range, solid pointing instinct, and strong desire for the water. He has excellent tracking abilities for all types of work after the shot. These qualities are enhanced by intelligence and trainability.",,20.5-21 inches,large,40-60 pounds,middleweight,12-14 years,Miscellaneous Class,20%,60%,100%,60%,80%,"['Brown & White', 'Brown Roan']"
Portuguese Pointer,"Affectionate, Smart, Energetic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12195455/Portuguese-Pointer-on-White-01-1.jpg,The Portuguese Pointer is a very old hunting breed bred to work closely with its handler. They are enthusiastic in their work and very dedicated to their owner.,,20.5-22 inches,large,35-59 pounds,middleweight,14 years,Foundation Stock Service,20%,40%,80%,100%,80%,"['Light Yellow', 'Red Yellow', 'Yellow']"
Old English Sheepdog,"Adaptable, Gentle, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212937/Old-English-Sheepdogs-on-white-02.jpg,"The Old English Sheepdog is the archetypical shaggy dog, famous for his profuse coat and peak-a-boo hairdo, a distinctive bear-like gait, and a mellow, agreeable nature. The OES is a big, agile dog who enjoys exploring and a good romp.",Ranks 72 of 197,21 inches,large,60-100 pounds,super heavyweight,10-12 years,Herding Group,60%,60%,60%,40%,60%,"['Blue & White', 'Blue Gray & White', 'Blue Merle & White', 'Gray & White', 'Grizzle & White', 'Black & White', 'Blue', 'Blue Gray', 'Blue Merle', 'Brown & White', 'Fawn & White', 'Gray', 'Grizzle', 'White']"
Bull Terrier,"Playful, Charming, Mischievous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213126/bull-terrier-on-white-10.jpg,"Among the most comical and mischievous citizens of dogdom, the Bull Terrier is playful and endearing, sometimes stubborn, but always devoted. These unique “eggheads” are exuberant, muscular companions who thrive on affection and exercise.",Ranks 62 of 197,21-22 inches,large,50-70 pounds,heavyweight,12-13 years,Terrier Group,40%,60%,80%,40%,80%,"['Black & Tan', 'Black Brindle', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Red', 'Red & White', 'White', 'White & Black Brindle', 'White & Brindle', 'White & Red', 'White Black & Tan', 'Fawn', 'Fawn & White', 'Fawn Smut', 'Fawn Smut & White', 'Red Smut', 'Red Smut & White', 'White & Fawn', 'White & Fawn Smut', 'White & Red Smut']"
Yakutian Laika,"Affectionate, Intelligent, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/21194342/Yakutian-Laika1.jpg,"Yakutian Laikas are used for herding, pulling sleds and hunting. They were developed in ancient times for natives of Yakutia as indispensable assistants. This versatile dog will be happy by your side or participating in agility, coursing ability, herding or sledding.",,21-23 inches,large,40-55 pounds,middleweight,10-12 years,Foundation Stock Service,40%,60%,80%,20%,40%,"['Black & White', 'Brown & White', 'Gray & White', 'White', 'White & Black', 'White & Gray', 'White & Red']"
Vizsla,"Affectionate, Gentle, Energetic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12223307/Vizsla-On-White-01.jpg,"The Vizsla is a versatile, red-coated gundog built for long days in the field. For centuries, these rugged but elegant athletes have been the pride of Hungarian sportsmen and their popularity in America increases with each passing year.",Ranks 31 of 197,21-23 inches,large,44-55 pounds,heavyweight,12-14 years,Sporting Group,40%,60%,80%,100%,80%,"['Golden Rust', 'Golden', 'Red', 'Red Golden', 'Rust', 'Rust Golden', 'Sandy Yellow']"
Irish Water Spaniel,"Playful, Hardworking, Brave",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231921/Irish-Water-Spaniel-On-White-01.jpg,"The tallest of the AKC’s spaniels, the Irish Water Spaniel is instantly recognizable by its crisply curled coat and tapering “rat tail.” Among the champion swimmers of dogdom, the alert and inquisitive IWS is hardworking and brave in the field, and playfully affectionate at home.",Ranks 159 of 197,21-23 inches,large,45-58 pounds,heavyweight,12-13 years,Sporting Group,40%,60%,100%,80%,40%,['Liver']
German Shorthaired Pointer,"Friendly, Smart, Willing to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12232941/German-Shorthaired-Pointer-On-White-07.jpg,"The versatile, medium-sized German Shorthaired Pointer is an enthusiastic gundog of all trades who thrives on vigorous exercise, positive training, and a lot of love. GSP people call their aristocratic companions the “perfect pointer.”",Ranks 9 of 197,21-23 inches,large,45-60 pounds,heavyweight,10-12 years,Sporting Group,40%,80%,100%,100%,80%,"['Black', 'Black & White', 'Black Roan', 'Liver', 'Liver & White', 'Liver Roan', 'White & Liver']"
Pharaoh Hound,"Friendly, Smart, Noble",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12214239/Pharaoh-Hound-On-White-03.jpg,"The Pharaoh Hound, ancient ""Blushing Dog"" of Malta, is an elegant but rugged sprinting hound bred to course small game over punishing terrain. Quick and tenacious on scent, these friendly, affectionate hounds settle down nicely at home.",Ranks 172 of 197,21-24 inches,large,45-55 pounds,heavyweight,12-14 years,Hound Group,40%,60%,80%,40%,40%,"['Chestnut', 'Red Golden', 'Rich Tan', 'Tan']"
Chesapeake Bay Retriever,"Affectionate, Bright, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29231024/Chesapeake-Bay-Retriever-hunting.jpg,"The Chesapeake Bay Retriever, peerless duck dog of the Mid-Atlantic, is an American original who embodies the classic traits of a good retriever: loyal, upbeat, affectionate, and tireless. The Chessie is famous for his waterproof coat.",Ranks 45 of 197,21-24 inches,large,55-70 pounds,heavyweight,10-13 years,Sporting Group,60%,80%,80%,60%,40%,"['Brown', 'Dark Brown', 'Dark Deadgrass', 'Deadgrass', 'Light Brown', 'Light Deadgrass', 'Sedge', 'Tan']"
American Foxhound,"Independent, Easy-Going, Sweet-Tempered",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13001630/American-Foxhound-On-White-03.jpg,"American Foxhounds are good-natured, low-maintenance hounds who get on well with kids, dogs, even cats, but come with special considerations for prospective owners. They are closely associated with Revolutionary heroes and the estates of old Virginia.",Ranks 186 of 197,21-24 inches,large,60-65 pounds,super heavyweight,11-13 years,Hound Group,20%,60%,80%,40%,80%,"['Black White & Tan', 'White Black & Tan', 'Black Brown & White', 'Blue', 'Brown White & Tan', 'Red', 'Tan', 'White', 'White & Cream', 'White & Red']"
Bluetick Coonhound,"Smart, Devoted, Tenacious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28195318/Bluetick-Coonhound.jpg,"The sleekly beautiful Bluetick Coonhound is a sweet and affectionate charmer who might enjoy snoozing in the shade, but in pursuit of quarry he is relentless, bold, and single-minded. His off-the-charts prey drive must be channeled.",Ranks 130 of 197,21-25 inches,large,45-65 pounds,heavyweight,11-12 years,Hound Group,40%,60%,80%,60%,80%,"['Blue Ticked', 'Blue Ticked & Tan']"
Drentsche Patrijshond,"Loyal, Intelligent, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205834/Drentsche-Patrijshond-on-White-01.jpg,"This breed is pronounced da'rinse-ah puh'trice-hoon. The Drentsche Patrijshond, Drent for short, is not your typical continental pointer. For starters, the Drent has a tail and is nearly four hundred years old. The Drent was built by farmers for farmers. As a farm dog, Drents had to do it all: hunt feather and fur, keep the farm clear of vermin, cart dairy to the market and much more. The breed has maintained versatility from the beginning and are highly intelligent and adaptable. As such, training must be kept lively and interesting. Drents are used in all types of hunting, agility, tracking, dog sledding, and skijoring.",,21-25 inches,large,48-73 pounds,heavyweight,11–14 years,Foundation Stock Service,40%,80%,80%,60%,40%,['White']
Redbone Coonhound,"Even-Tempered, Amiable, Eager to Please",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20142238/Redbone-Coonhound.jpg,"The streamlined Redbone Coonhound, an American original, is even-tempered, mellow, and kindly at home but a tiger on the trail. Vigorous activities like hunting and swimming between long periods of rest is the rhythm of coonhound life.",Ranks 142 of 197,21-26 inches,large,45-70 pounds,heavyweight,12-15 years,Hound Group,40%,60%,60%,80%,80%,['Red']
American Leopard Hound,"Sociable, Energetic, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191232/American-Leopard-Hound-MP.jpg,"Intelligence is one of the American Leopard Hound's very best attributes. The breed is loving and affectionate toward their family and they are extremely protective of children. American Leopards are one of the oldest tree dog breeds in the U.S. and have extremely strong tracking abilities, often able to track prey for miles.",,21-27 inches,large,45-70 pounds,heavyweight,12-15 years,Foundation Stock Service,40%,60%,80%,100%,60%,"['Black', 'Blue', 'Brown', 'Gray', 'Red', 'Yellow']"
Bracco Italiano,"Affectionate, Intelligent, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104437/Bracco.7.jpg,The Bracco Italiano is one of the oldest of the pointing breeds. It was introduced into the United States in the 1990s and has remained true to its heritage as a versatile gun dog. It is gentle in the home and tireless in the field.,,21-27 inches,large,55-90 pounds,heavyweight,10-14 years,Miscellaneous Class,20%,40%,80%,80%,60%,"['White', 'White & Chestnut', 'White & Orange']"
Wetterhoun,"Loyal, Good-Natured, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/01/29131052/Wetterhoun-black.jpg,"The Wetterhoun, although originally bred for hunting otters, now make excellent companions, watchdogs, and can excel in a variety of sports due to their perseverant nature.  The Wetterhoun is almost never seen apart from its owner; they enjoy their company as much as the owner enjoys theirs.",,21. 5 inches,large,50-75 pounds,heavyweight,13 years,Foundation Stock Service,20%,40%,60%,20%,40%,"['Black & White', 'Brown & White', 'Brown']"
Golden Retriever,"Friendly, Intelligent, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22133117/Golden-Retriever-wading-into-a-lake.jpg,"The Golden Retriever, an exuberant Scottish gundog of great beauty, stands among America’s most popular dog breeds. They are serious workers at hunting and field work, as guides for the blind, and in search-and-rescue, enjoy obedience and other competitive events, and have an endearing love of life when not at work. ",Ranks 3 of 197,21.5-22.5 inches,large,55-65 pounds,heavyweight,10-12 years,Sporting Group,40%,60%,100%,100%,80%,"['Dark Golden', 'Golden', 'Light Golden']"
Wirehaired Vizsla,"Gentle, Loyal, Trainable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/31171727/Wirehaired-Vizsla-wading-into-a-lake.jpg,"The Wirehaired Vizsla is an exuberant hunter on land or lake, whose dense, wiry coat distinguishes him from his close cousin, the Vizsla. Calm and gentle around the house, these upbeat Hungarians like running, swimming, and upbeat play.",Ranks 167 of 197,21.5-23 inches,large,45-55 pounds,heavyweight,12-14 years,Sporting Group,20%,60%,80%,60%,60%,"['Golden Rust', 'Golden', 'Red', 'Red Golden', 'Rust', 'Rust Golden', 'Sandy Yellow']"
Boxer,"Bright, Fun-Loving, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/17154200/Boxer.1.jpg,"Loyalty, affection, intelligence, work ethic, and good looks: Boxers are the whole doggy package. Bright and alert, sometimes silly, but always courageous, the Boxer has been among America’s most popular dog breeds for a very long time.",Ranks 11 of 197,21.5-23.5 inches,large,50-65 pounds,heavyweight,10-12 years,Working Group,40%,40%,80%,80%,100%,"['Brindle', 'Fawn', 'White']"
Berger Picard,"Loyal, Good-Natured, Observant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03193707/Berger-Picard-standing-in-a-field.jpg,"The Berger Picard is a lanky herding dog of strong bone and sturdy build. Picards spent centuries as take-charge independent problem-solvers, so early socialization and positive training are necessary to cope with their stubborn streak.",Ranks 144 of 197,21.5-23.5 inches,large,50-70 pounds,heavyweight,12-13 years,Herding Group,20%,60%,100%,80%,60%,"['Brindle', 'Fawn']"
Labrador Retriever,"Friendly, Active, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29150201/Labrador-Retrievers-three-colors.jpg,"The sweet-faced, lovable Labrador Retriever is America’s most popular dog breed. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog.",Ranks 1 of 197,21.5-23.5 inches,large,55-70 pounds,heavyweight,10-12 years,Sporting Group,40%,80%,100%,100%,100%,"['Black', 'Chocolate', 'Yellow']"
Tosa,"Fearless, Patient, Vigilant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12194713/Tosa-on-White-01.jpg,"The Tosa's temperament is marked by patience, composure, boldness and courage. He is normally a tranquil, quiet, and obedient dog, with a calm but vigilant demeanor. With a stately manner and robust build, they were formerly bred for fighting, but are now used as watchdogs.",,21.5-23.5 inches,large,100-200 pounds,super heavyweight,10-12 years,Foundation Stock Service,20%,40%,40%,60%,40%,"['Black', 'Brindle', 'Fawn', 'Red']"
French Spaniel,"Gentle, Sociable, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/27114220/French-Spaniel-Gallery-01.jpg,"The French Spaniel is balanced, frank, gentle, calm and docile. He is an enthusiastic hunter, sociable with other dogs and an ideal companion in all circumstances. An excellent pointing dog, he also has a talent for retrieving.",,21.5-24 inches,large,50-60 pounds,heavyweight,10-12 years,Foundation Stock Service,,,,,,"['Brown', 'White & Brown']"
Dutch Shepherd,"Intelligent, Lively, Athletic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12205622/Dutch-Shepherd-on-White-01.jpg,"The Dutch Shepherd is a lively, athletic, alert and intelligent breed, and has retained its herding instinct for which it was originally developed. Having an independent nature, it can be slightly obstinate and have a mind of its own. Since its original duties were to keep flocks of sheep in a particular location, it is able to run all day, and that is reflected in its physique and structure.",,21.5-24.5 inches,large,42-75 pounds,heavyweight,11-14 years,Miscellaneous Class,40%,60%,100%,60%,60%,"['Gold Brindle', 'Silver Brindle', 'Yellow']"
German Wirehaired Pointer,"Affectionate, Eager, Enthusiastic",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/22105856/German-Wirehaired-Pointer-standing-in-a-green-grassy-field.jpg,"With his sporty weatherproof coat and can-do attitude, the noble German Wirehaired Pointer is a versatile, sturdy gundog who thrives on outdoor activity. Around the house, the breed is an eager, affectionate, and amusing family companion.",Ranks 63 of 197,22 inches,large,50-70 pounds,heavyweight,14-16 years,Sporting Group,40%,80%,100%,100%,40%,"['Liver', 'Liver & White', 'Black & White']"
Bergamasco Sheepdog,"Independent, Sociable, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01151917/Bergamasco-Sheepdogs-sitting-in-a-field.jpg,"Generally happy with kids and other animals, the low-maintenance and robustly healthy Bergamasco is much more than a show-stopping hairdo. Eager to please, smart, and stubbornly devoted to work, Bergamascos are patient but protective.",Ranks 187 of 197,22 inches,large,57-71 pounds,heavyweight,13-15 years,Herding Group,20%,20%,40%,60%,40%,"['Black', 'Gray']"
Porcelaine,"Independent, Energetic, Powerful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02202853/Porcelaine.4.jpg,"The Porcelaine is elegant, energetic, and a fierce hunter; he is used for small game, driving it to waiting guns. He is very fond of his owners, family, friends and children and he loves to take part in all family activities. The breed excels as a house pet and is easily crate trained and housebroken.",,22-23 inches,large,55-62 pounds,heavyweight,12-13 years,Foundation Stock Service,20%,,80%,80%,,['White & Orange']
Flat-Coated Retriever,"Cheerful, Optimistic, Good-Humored",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02143829/Flat-Coated-Retrievers-sitting-outdoors.jpg,"The Peter Pan of the Sporting Group, the forever-young Flat-Coated Retriever is a gundog of relatively recent origin. Happy, self-assured, and willing to please, a good Flat-Coat will retrieve a duck or a show ribbon with equal aplomb.",Ranks 91 of 197,22-23.5 inches,large,60-70 pounds,super heavyweight,8-10 years,Sporting Group,40%,80%,100%,100%,80%,"['Black', 'Liver', 'Yellow']"
Belgian Malinois,"Confident, Smart, Hardworking",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/13000724/Belgian-Malinois-On-White-01.jpg,"The smart, confident, and versatile Belgian Malinois is a world-class worker who forges an unbreakable bond with his human partner. To deny a Mal activity and the pleasure of your company is to deprive him of his very reasons for being.",Ranks 43 of 197,22-24 inches,large,40-60 pounds,middleweight,14-16 years,Herding Group,40%,60%,80%,80%,40%,"['Fawn', 'Fawn Sable', 'Mahogany', 'Red', 'Red Sable', 'Black', 'Brindle', 'Cream', 'Cream Sable', 'Gray', 'Gray Sable', 'Liver']"
Belgian Sheepdog,"Bright, Watchful, Serious-Minded",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/24164142/Belgian-Sheepdog-standing-in-a-field.jpg,"The Belgian Sheepdog is a highly trainable herder whose versatility and intelligence is the stuff of canine legend. This is a breed built for hard work, and plenty of it. These sensitive souls crave human companionship and abhor neglect.",Ranks 125 of 197,22-24 inches,large,45-60 pounds,heavyweight,12-14 years,Herding Group,60%,60%,80%,80%,40%,"['Black', 'Black & White', 'Black & Cream', 'Brown', 'Fawn', 'Fawn & Black', 'Gray', 'Gray & Black', 'Sable', 'Silver', 'Silver & Black', 'Wolfgray & Black']"
Belgian Tervuren,"Courageous, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29201539/Belgian-Tervuren.3.jpg,"The elegant, agile Belgian Tervuren is a bright and self-assured herding dog of medium size, known to be affectionate and possessive with loved ones. Lots of hard work and challenging play is heaven for this tireless, do-it-all dog.",Ranks 106 of 197,22-24 inches,large,45-60 pounds,heavyweight,12-14 years,Herding Group,60%,60%,80%,80%,40%,"['Fawn & Black', 'Mahogany & Black', 'Black', 'Brindle', 'Cream & Black', 'Fawn & Liver', 'Gray & Black', 'Mahogany & Liver', 'Silver & Black']"
Collie,"Devoted, Graceful, Proud",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10130454/Collie-standing-in-a-field.jpg,"The majestic Collie, thanks to a hundred years as a pop-culture star, is among the world’s most recognizable and beloved dog breeds. The full-coated “rough” Collie is the more familiar variety, but there is also a sleek “smooth” Collie.",Ranks 38 of 197,22-24 inches,large,50-65 pounds,heavyweight,12-14 years,Herding Group,60%,60%,60%,80%,80%,"['Black White & Tan', 'Blue Merle', 'Blue Merle & White', 'Blue Merle White & Tan', 'Sable', 'Sable & White', 'Sable Merle', 'Sable Merle & White', 'White', 'White Merle']"
Chinook,"Smart, Patient, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12234558/Chinook-On-White-03.jpg,"The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.",Ranks 190 of 197,22-24 inches,large,50-65 pounds,heavyweight,12-15 years,Working Group,40%,60%,80%,100%,80%,"['Fawn', 'Gray Red', 'Palomino', 'Red Gold', 'Silver Fawn', 'Black', 'Black & Tan', 'Buff', 'Gray & Tan', 'Tawny', 'White']"
German Shepherd Dog,"Confident, Courageous, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12213218/German-Shepherd-on-White-00.jpg,"Generally considered dogkind’s finest all-purpose worker, the German Shepherd Dog is a large, agile, muscular dog of noble character and high intelligence. Loyal, confident, courageous, and steady, the German Shepherd is truly a dog lover’s delight.",Ranks 2 of 197,22-24 inches,large,50-70 pounds,heavyweight,12-14 years,Herding Group,40%,80%,60%,100%,60%,"['Bi-Color', 'Black', 'Black & Cream', 'Black & Red', 'Black & Silver', 'Black & Tan', 'Blue', 'Gray', 'Liver', 'Sable', 'White']"
Catahoula Leopard Dog,"Loyal, Independent, Watchful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12211404/Catahoula-Leopard-Dog-on-White-02.jpg,"The Catahoula Leopard Dog is a multi-purpose working dog that is well-muscled and powerful, but with a sense of agility and endurance. They are serious while working and playful at home.",,22-24 inches,large,50-95 pounds,heavyweight,10-14 years,Foundation Stock Service,,,100%,100%,40%,"['Black', 'Blue', 'Blue Merle', 'Brindle', 'Chocolate', 'Red', 'Red Merle', 'White Merle', 'Yellow', 'Yellow Merle']"
Belgian Laekenois,"Affectionate, Alert, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25180028/Belgian-Laekenois-standing-in-a-field.jpg,"Strong, agile and full of life, the Belgian Laekenois (pronounced ""Lak-in-wah"") is one of four native dogs of Belgium. Although similar in body and temperament to the Malinois, Shepherd and Tervuren, the Laekenois differs in coat color, texture and length, as well as region of origin.",,22-24 inches,large,55-65 pounds,heavyweight,10-12 years,Herding Group,40%,80%,80%,80%,40%,"['Fawn', 'Fawn Sable', 'Mahogany', 'Red', 'Red Sable', 'Black & Tan', 'Cream', 'Cream Sable']"
