breed_name,temperment,image,description,akc_rank,height,weight,life_expectancy,group,brushing_scale,shedding_scale,energy_scale,trainability_scale,temperment_scale,color_options
Italian Greyhound,"Playful, Alert, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20155017/Two-Italian-Greyhounds.jpg,"A true Greyhound in miniature, the elegant Italian Greyhound is an alert, playful, and highly affectionate toy companion. IGs make decorative couch dogs, but at heart they are flash-and-dash coursing hounds with an instinct for pursuit.",Ranks 73 of 197,13-15 inches,7-14 pounds,14-15 years,Toy Group,20%,60%,60%,40%,20%,"['Black', 'Blue', 'Blue Fawn', 'Cream', 'Fawn', 'Red', 'Red Fawn', 'Sable', 'Seal', 'White & Black', 'White & Blue', 'White & Blue Fawn', 'White & Fawn', 'White & Red', 'White & Red Fawn', 'White & Sable', 'White & Seal', 'Black', 'Black & Tan', 'Blue & Tan', 'Brindle', 'Chocolate', 'White']"
Jagdterrier,"Courageous, Intelligent, Hardworking",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/23184645/Jagdterrier.4.jpg,"Also known as the Deutscher Jagdterrier, the Jagdterrier is courageous, enduring, vital, full of temperament, reliable, sociable and trainable. He always takes pleasure in his work.",NA,13-16 inches,17-22 pounds,10-12 years,Foundation Stock Service,Missing 'Care' Scales for 'Jagdterrier',Missing 'Care' Scales for 'Jagdterrier',Missing 'Care' Scales for 'Jagdterrier',Missing 'Care' Scales for 'Jagdterrier',Missing 'Care' Scales for 'Jagdterrier',"['Black', 'Black & Gray', 'Dark Brown']"
Japanese Akitainu,"Dignified, Alert, Reserved",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/11/07124019/Japanese-Akitainu-standing-in-the-forest.jpg,,NA,"25 - 27 1/2 inches (male), 22 1/2 - 25 inches (female)","65 - 75 pounds (male), 55 -65 pounds (female)",10-12 years,Foundation Stock Service,20%,60%,60%,40%,60%,"['Brindle', 'Red', 'White']"
Japanese Chin,"Charming, Noble, Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20164850/Japanese-Chin-standing-outdoors.jpg,"The Japanese Chin is a charming toy companion of silky, profuse coat and an unmistakably aristocratic bearing. Often described as a distinctly “feline” breed, this bright and amusing lapdog is fastidious, graceful, and generally quiet.",Ranks 104 of 197,8-11 inches,7-11 pounds,10-12 years,Toy Group,40%,60%,60%,40%,40%,"['Black & White', 'Lemon & White', 'Sable & White', 'White & Black', 'Black White & Tan']"
Japanese Spitz,"Loyal, Playful, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2019/06/28104840/Japanese-Spitz.4.jpg,"The Japanese Spitz are little comedians who want to make you happy and laugh. They are very loyal and smart and make wonderful companions. Game for adventures, they will tag along on a hike, a car ride, or a trip to the beach or lake. They love their humans and just enjoy being with them.",NA,12-15 inches,10-25 pounds,12-14 years,Foundation Stock Service,40%,40%,60%,80%,80%,['White']
Japanese Terrier,"Independent, Curious, Reserved",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2020/12/22144751/Japanese-Terrier-standing-in-three-quarter-view.jpg,,NA,11-13 inches,5-10 pounds,12-15 years,Foundation Stock Service,40%,40%,60%,60%,40%,['White']
Jindo,"Alert, Intelligent, Bold",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03201430/Jindo.1.jpg,"Loyal, watchful, and intelligent, the Jindo developed as a breed on an island off the coast of South Korea. Medium-sized and natural in appearance, they are valued as independent hunters, discerning guardians, and loyal companions.",NA,18-22 inches,30-50 pounds,~14 years,Foundation Stock Service,40%,60%,80%,40%,40%,"['Black & Tan', 'Brindle', 'Fawn', 'Gray', 'White']"
Kai Ken,"Loyal, Agile, Keen",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28123020/Kai-Ken.5.jpg,"The Kai Ken is a medium-sized dog and is one of the six native Japanese breeds or Nihon Ken. Traditionally used to hunt a wide range of game in the mountains of Japan, the Kai Ken is considered a rare breed even in Japan. The Kai is highly intelligent and learns quickly. They seem to learn as fast as the other Japanese breeds if not faster. They are not as independent and are more willing to please their companions. The Japanese describe the Kai Ken as a trustworthy guardian and extremely devoted to his master.",NA,15.5-19.5 inches,20-40 pounds,12-15 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Black Brindle', 'Gray Brindle', 'Red Brindle']"
Karelian Bear Dog,"Loyal, Independent, Courageous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04224543/Karelian-Bear-Dog.jpg,"The Karelian Bear Dog is an eager hunter and very independent, yet works cooperatively to mark game by barking. Their senses, especially smell, are sharp, thus the breed is suitable for big game hunting. They have a very good sense of direction, are balanced, courageous and persistent. This breed has a highly developed spirit for game and are very self-confident. They may be territorial towards other males, but are never aggressive towards people, though they may be slightly reserved.",NA,19-23.5 inches,44-49 pounds,11-13 years,Foundation Stock Service,Missing 'Care' Scales for 'Karelian Bear Dog',Missing 'Care' Scales for 'Karelian Bear Dog',Missing 'Care' Scales for 'Karelian Bear Dog',Missing 'Care' Scales for 'Karelian Bear Dog',Missing 'Care' Scales for 'Karelian Bear Dog',['Black']
Keeshond,"Friendly, Lively, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28142535/Keeshond-exploring-in-the-backyard.jpg,"The amiable Keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive “spectacles” on his foxy face. Once a fixture on the canal barges of his native Holland, the Kees was, and remains, a symbol of Dutch patriotism.",Ranks 95 of 197,"18 inches (male), 17 inches (female)",35-45 pounds,12-15 years,Non-Sporting Group,60%,60%,60%,80%,80%,"['Black & Silver', 'Gray & Black', 'Gray Cream & Black', 'Gray Silver & Black', 'Silver & Black', 'Wolfgray & Black', 'Black', 'Gray', 'Silver', 'Tawny', 'White', 'Wolfgray']"
Kerry Blue Terrier,"Smart, Alert, People-Oriented",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/28183206/Kerry-Blue-Terrier-standing-stacked-outdoors.jpg,"Among the largest of AKC terriers, the Kerry Blue Terrier is famous for his show-stopping blue coat. Named for the Irish county of his birth, this onetime farm dog is today an alert, adaptable, and animated watchdog and family companion.",Ranks 129 of 197,"18-19.5 inches (male), 17.5-19 inches (female)","33-40 pounds (male), females weigh slightly less than males",12-15 years,Terrier Group,Missing 'Care' Scales for 'Kerry Blue Terrier',Missing 'Care' Scales for 'Kerry Blue Terrier',Missing 'Care' Scales for 'Kerry Blue Terrier',Missing 'Care' Scales for 'Kerry Blue Terrier',Missing 'Care' Scales for 'Kerry Blue Terrier',"['Black', 'Blue', 'Blue & Black', 'Blue & Gray', 'Blue & Silver', 'Silver', 'Silver Blue', 'Slate Blue', 'Gray']"
Kishu Ken,"Faithful, Noble, Docile",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09134724/Kishu-Ken.3.jpg,"The Kishu Ken is a dog of noteworthy endurance, showing nobility, dignity, and naive feeling. His temperament is faithful, docile, and very alert.",NA,17-22 inches,30-60 pounds,11-13 years,Foundation Stock Service,20%,60%,80%,40%,40%,"['Red', 'Sesame', 'White']"
Komondor,"Loyal, Dignified, Brave",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03233449/Komondor-standing-in-the-park.jpg,"A powerfully large Hungarian flock guardian covered in profuse white cords from head to tail, the Komondor is among the world’s most recognizable breeds. The independent and protective Kom requires a firm, experienced hand at training.",Ranks 173 of 197,"27.5 minimum inches (male), 25.5 minimum inches (female)","100 pounds or more (male), 80 pounds or more (female)",10-12 years,Working Group,100%,60%,60%,40%,40%,['White']
Kromfohrlander,"Intelligent, Active, Sensitive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/07133650/Kromfohrlander.6.jpg,"The Kromfohrlander is a medium-sized companion breed that is sensitive, loving and loyal to its owners. He has a distinctive 'smile' and will sneeze to greet you. Pronunciation of the breed is ""krome-for-lahn-dair.""",NA,15-18 inches,20-35 pounds,13-15 years,Foundation Stock Service,60%,80%,60%,60%,40%,"['White & Brown', 'White & Tan']"
Kuvasz,"Loyal, Fearless, Courageous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/05132204/Kuvasz-standing-outdoors.jpg,"The Kuvasz is Hungary's majestic guardian breed and hunting companion of kings. A working dog of larger size, the imposing, white, thickly-coated Kuvasz is beautiful, intelligent, independent and profoundly loyal.",Ranks 163 of 197,"28-30 inches (male), 26-28 inches (female)","100-115 pounds (male), 70-90 pounds (female)",10-12 years,Working Group,40%,80%,60%,40%,40%,['White']
Labrador Retriever,"Friendly, Active, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/29150201/Labrador-Retrievers-three-colors.jpg,"The sweet-faced, lovable Labrador Retriever is America’s most popular dog breed. Labs are friendly, outgoing, and high-spirited companions who have more than enough affection to go around for a family looking for a medium-to-large dog.",Ranks 1 of 197,"22.5-24.5 inches (male), 21.5-23.5 inches (female)","65-80 pounds (male), 55-70 pounds (female)",10-12 years,Sporting Group,40%,80%,100%,100%,100%,"['Black', 'Chocolate', 'Yellow']"
Lagotto Romagnolo,"Affectionate, Keen, Undemanding",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/04123313/Lagotto-Romagnolo-standing-by-a-pond.jpg,"The Lagotto Romagnolo, Italy’s adorable “truffle dog,” sports a curly coat and lavish facial furnishings. Despite their plush-toy looks, Lagotti are durable workers of excellent nose who root out truffles, a dainty and pricey delicacy.",Ranks 99 of 197,"17-19 inches (male), 16-18 inches (female)","28.5-35 pounds (male), 24-31 pounds (female)",15-17 years,Sporting Group,20%,20%,60%,100%,60%,"['Brown', 'Brown Roan', 'Off-White', 'Orange', 'White & Brown', 'White & Orange']"
Lakeland Terrier,"Friendly, Confident, Bold",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30180513/Lakeland-Terrier-standing-stacked-outdoors.jpg,"A bold, zesty “big dog in a small package,” the Lakeland Terrier, named for the Lake District of his native England, was once a farmer’s dog bred to work in packs on sheep-stealing foxes. The Lakeland's coat is hard, wiry, and low-shedding.",Ranks 147 of 197,"14-15 inches (male), slightly smaller (female)","17 pounds (male), slightly smaller (female)",12-15 years,Terrier Group,40%,20%,60%,60%,60%,"['Black', 'Black & Tan', 'Blue', 'Blue & Tan', 'Grizzle & Tan', 'Liver', 'Red', 'Red Grizzle', 'Wheaten', 'Brindle', 'Grizzle', 'Liver & Tan']"
Lancashire Heeler,"Affectionate, Versatile, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/30165210/Lancashire-heeler.1.jpg,"The Lancashire Heeler is a medium to high energy dog. Intelligent, alert and friendly, they are quick to learn new tasks. A sturdy little dog with a short, weather-resistant coat of black and tan or liver and tan, they are affectionate with their owners, always happy, talkative, and always ready for a walk. Their small size is what gives them their charm.",NA,10-12 inches,9-17 pounds,12-15 years,Miscellaneous Class,20%,60%,80%,80%,80%,"['Black & Tan', 'Liver & Tan']"
Lapponian Herder,"Friendly, Energetic, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03092437/lapponian-herder-1-800x600.jpg,"The Lapponian Herder is a medium-sized dog with a medium coat, making them easy to maintain and perfect for any experienced dog owner. They are a wonderful, rounded, diversified dog breed ready to problem solve any task given to them. They can fit into most living environments as long as they are given jobs to do. This breed comes in many colors including grey-brown, black often with lighter undercoats, and white or tan markings. They are aloof with strangers but love their people.",NA,18-20 inches,70 pounds,10-14 years,Foundation Stock Service,40%,60%,60%,100%,40%,"['Black', 'Gray', 'Liver']"
Leonberger,"Friendly, Gentle, Playful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01000610/Leonberger-standing-in-a-field.jpg,The Leonberger is a lush-coated giant of German origin. They have a gentle nature and serene patience and they relish the companionship of the whole family.,Ranks 93 of 197,"28-31.5 inches (male), 25.5-29.5 inches (female)","110-170 pounds (male), 90-140 pounds (female)",9 years,Working Group,80%,80%,60%,100%,80%,"['Red', 'Reddish Brown', 'Sandy', 'Yellow']"
Lhasa Apso,"Confident, Smart, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12231104/Lhasa-Apso-On-White-01.jpg,"The lavishly coated Lhasa Apso is a thousand-year-old breed who served as sentinels at palaces and monasteries isolated high in the Himalayas. Smart, confident, and complex, Lhasas are family comedians but regally aloof with strangers.",Ranks 71 of 197,"10-11 inches (male), slightly smaller (female)",12-18 pounds,12-15 years,Non-Sporting Group,60%,20%,60%,40%,40%,"['Black', 'Black & Tan', 'Cream', 'Golden', 'Grizzle', 'Red', 'Red Gold', 'White', 'Blue', 'Charcoal', 'Gray', 'Liver', 'Silver']"
Löwchen,"Affectionate, Outgoing, Positive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/25120641/Lowchen-at-the-AKC-National-Championship-presented-by-Royal-Canin.jpg,"A companion dog whose name is German for “little lion,” the Löwchen has been a popular pet among Continental Europeans for more than 500 years. The portable, non-shedding Löwchen is said to be affectionate, lively, and brave as a lion.",Ranks 168 of 197,11-13 inches,10-15 pounds,15+ years,Non-Sporting Group,20%,20%,60%,60%,100%,"['Black', 'Black & Silver', 'Black & Tan', 'Black Brindle', 'Blue', 'Blue Brindle', 'Chocolate', 'Cream', 'Fawn', 'Gold', 'Gold Brindle', 'Gold Sable', 'Red', 'Red Brindle', 'Red Sable', 'Silver', 'Silver Brindle', 'White', 'Black & Tan Brindle', 'Chocolate Brindle', 'Chocolate Sable', 'Fawn Brindle', 'Fawn Sable', 'Silver Sable']"
Maltese,"Gentle, Playful, Charming",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/08152421/Maltese-laying-down-in-a-chair.jpg,"The tiny Maltese, “Ye Ancient Dogge of Malta,” has been sitting in the lap of luxury since the Bible was a work in progress. Famous for their show-stopping, floor-length coat, Maltese are playful, charming, and adaptable toy companions.",Ranks 37 of 197,7-9 inches,under 7 pounds,12-15 years,Toy Group,80%,20%,60%,60%,100%,"['White', 'White & Lemon', 'White & Tan']"
Manchester Terrier (Standard),"Spirited, Bright, Keenly Observant",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/01152158/Manchester-Terrier-Standard-on-White-08.jpg,"The Manchester Terrier is named after the English city where much of the breed’s early development took place. Sleek, racy dogs who possess a terrier’s ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless rat terrier. These racy dogs come in two size varieties:  Standard (not exceeding 22 pounds) and Toy (not exceeding 12 pounds).",Ranks 133 of 197,15-16 inches,12-22 pounds,15-17 years,Terrier Group,40%,40%,60%,80%,60%,"['Black & Tan', 'Black']"
Manchester Terrier (Toy),"Agile, Spirited, Intelligent",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/04/26221428/Manchester-Terrier-Slide-01.jpg,"The Manchester Terrier is named after the English city where much of the breed’s early development took place. Sleek dogs who possess a terrier’s ratting instinct and the graceful contours of coursing hounds, Manchesters are spirited, bright, and athletic. They combine the streamlined grace of a coursing hound and the instincts of a fearless Rat Terrier. These racy dogs come in two size varieties:  Toy (not exceeding 12 pounds) and Standard (not exceeding 22 pounds).",Ranks 133 of 197,10-12 inches,under 12 pounds,15-17 years,Toy Group,40%,40%,60%,80%,60%,"['Black & Tan', 'Black']"
Mastiff,"Courageous, Dignified, Good-Natured",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230849/Mastiff-On-White-03.jpg,"The colossal Mastiff belongs to a canine clan as ancient as civilization itself. A massive, heavy-boned dog of courage and prodigious strength, the Mastiff is docile and dignified but also a formidable protector of those they hold dear.",Ranks 29 of 197,"30 inches & up (male), 27.5 inches & up (female)","160-230 pounds (male), 120-170 pounds (female)",6-10 years,Working Group,20%,40%,60%,60%,60%,"['Apricot', 'Brindle', 'Fawn']"
Miniature American Shepherd,"Good-Natured, Intelligent, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230829/Miniature-American-Shepherd-On-White-01.jpg,"The Miniature American Shepherd resembles a small Australian Shepherd. True herders in spite of their compact size, Minis are bright, self-motivated workers and endearingly loyal and lively companion dogs who have an affinity for horses.",Ranks 34 of 197,"14-18 inches (male), 13-17 inches (female)",20-40 pounds,12-13 years,Herding Group,80%,100%,80%,100%,80%,"['Black', 'Blue Merle', 'Red', 'Red Merle']"
Miniature Bull Terrier,"Upbeat, Mischievous, Comical",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/09231807/Miniature-Bull-Terrier-standing-outdoors.jpg,"In most every way the Miniature Bull Terrier is a Bull Terrier, only smaller. These upbeat, mischievous dogs come equipped with terrier fire and fearlessness. If ever a dog could claim the title “Clown Prince of Dogdom,” it’s the Mini.",Ranks 110 of 197,10-14 inches,18-28 pounds,11-13 years,Terrier Group,20%,40%,80%,40%,60%,"['Black & Brindle', 'Black & Tan', 'Black Brindle & White', 'Black Tan & White', 'Brindle', 'Brindle & White', 'Fawn', 'Fawn & White', 'Red', 'Red & White', 'White', 'White & Brindle', 'White & Fawn', 'White & Red', 'White Black & Brindle', 'White Black & Tan']"
Miniature Pinscher,"Fearless, Fun-Loving, Proud",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/10114051/Miniature-Pinscher-standing-in-three-quarter-view.jpg,"The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.",Ranks 70 of 197,10-12.5 inches,8-10 pounds,12-16 years,Toy Group,20%,20%,60%,40%,60%,"['Black & Rust', 'Black & Tan', 'Chocolate & Rust', 'Chocolate & Tan', 'Red', 'Stag Red', 'Blue & Rust', 'Blue & Tan', 'Blue Stag Red', 'Chocolate Stag Red', 'Fawn & Rust', 'Fawn (Isabella) & Tan', 'Fawn (Isabella) Stag Red']"
Miniature Schnauzer,"Friendly, Smart, Obedient",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230713/Miniature-Schnauzer-On-White-01.jpg,"The Miniature Schnauzer, the smallest of the three Schnauzer breeds, is a generally healthy, long-lived, and low-shedding companion. Add an outgoing personality, a portable size, and sporty good looks, and you’ve got an ideal family dog.",Ranks 19 of 197,12-14 inches,11-20 pounds,12-15 years,Terrier Group,100%,20%,60%,100%,60%,"['Black', 'Black & Silver', 'Salt & Pepper']"
Mountain Cur,"Intelligent, Strong-Willed, Reserved with Strangers",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12191148/Mountain-Cur-MP.jpg,"The Mountain Cur is a hunting dog with a good treeing instinct. It is a very courageous fighter and extremely intelligent, doing whatever job its master desires. The dogs were a crucial part of the cultures of early pioneers, settlers, and homesteaders.",NA,16-26 inches,30-60 pounds,10-13 years,Foundation Stock Service,20%,60%,100%,20%,40%,"['Black', 'Blue', 'Brindle', 'Brown', 'Red', 'Yellow']"
Mudi,"Loyal, Intelligent, Active",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/02190524/Mudi.7.jpg,"The Mudi is an extremely versatile, intelligent, alert, agile, all-purpose Hungarian farm dog. His courage is useful for working the most stubborn livestock. The breed is a loyal protector of property and family members without being overly aggressive.",NA,15-18.5 inches,18-29 pounds,12-14 years,Miscellaneous Class,20%,40%,100%,100%,40%,"['Black', 'Brown', 'Gray', 'Gray Brown', 'White', 'Yellow']"
Neapolitan Mastiff,"Loyal, Dignified, Watchful",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2009/01/26133242/Neapolitan-Mastiff-on-lead-standing-in-the-grass-outdoors.20190813025752970.jpg,"The Neapolitan Mastiff is a huge, powerful guarder whose astounding appearance has intimidated intruders since the days of ancient Rome. Wary with strangers, the profusely wrinkled Mastino is sweet, placid, and steady among loved ones.",Ranks 102 of 197,"26-31 inches (male), 24-29 inches (female)","150 pounds (male), 110 pounds (female)",7-9 years,Working Group,40%,60%,60%,20%,20%,"['Black', 'Blue', 'Mahogany', 'Tawny']"
Nederlandse Kooikerhondje,"Friendly, Alert, Quick",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2018/01/12194816/Nederlandse-Kooikerhondje-Field.jpg,"The Nederlandse Kooikerhondje is lively, agile, self-confident, good-natured and alert. The breed is faithful, easy-going and friendly in the home. Outdoors he is a true sporting dog being keen, swift, tough, attentive and energetic. With sufficient perseverance and stamina, he enjoys working and does so with a cheerful character.",Ranks 150 of 197,"15-17 inches (male), 14-16 inches (female)",20-30 pounds,12-15 years,Sporting Group,40%,60%,60%,100%,40%,['White & Red']
Newfoundland,"Sweet, Patient, Devoted",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/20135244/Newfoundland-standing-outdoors.jpg,"The massive Newfoundland is a strikingly large, powerful working dog of heavy bone and dignified bearing. The sweet-tempered Newfie is a famously good companion and has earned a reputation as a patient and watchful “nanny dog” for kids.",Ranks 40 of 197,"28 inches (male), 26 inches (female)","130-150 pounds (male), 100-120 pounds (female)",9-10 years,Working Group,40%,60%,60%,80%,80%,"['Black', 'Brown', 'Gray', 'White & Black', 'Beige', 'Black & Tan', 'White & Brown', 'White & Gray']"
Norfolk Terrier,"Fearless, Alert, Fun-Loving",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/15104735/Norfolk-Terrier-sitting-in-the-grass.1.jpg,"Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but don’t dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriers—feisty, confident, sturdy, and game for adventure.",Ranks 126 of 197,9-10 inches,11-12 pounds,12-16 years,Terrier Group,40%,60%,60%,60%,80%,"['Black & Tan', 'Grizzle', 'Red', 'Red Wheaten', 'Brown', 'Wheaten']"
Norrbottenspets,"Fearless, Agile, Attentive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230431/Norrbottenspets-On-White-01.jpg,"The Norrbottenspets is a small, slightly rectangular spitzdog, well poised, with sinewy and well-developed muscles. Alert with head carried high, they have a fearless attitude and are extremely agile. They are calm, keen, and attentive, with a kind disposition.",NA,16.5-18 inches,20-30 pounds,14-17 years,Miscellaneous Class,Missing 'Care' Scales for 'Norrbottenspets',Missing 'Care' Scales for 'Norrbottenspets',Missing 'Care' Scales for 'Norrbottenspets',Missing 'Care' Scales for 'Norrbottenspets',Missing 'Care' Scales for 'Norrbottenspets',['White']
Norwegian Buhund,"Confident, Smart, Perceptive",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230414/Norwegian-Buhund-On-White-01.jpg,"The densely coated Norwegian Buhund, a Nordic spitz-type closely associated with the Vikings, is a medium-sized cold-weather worker adept at herding and guarding. As family dogs, Buhunds are smart, affectionate, and steadfastly devoted.",Ranks 165 of 197,"17-18.5 inches (male), 16-17.5 inches (female)","31-40 pounds (male), 26-35 pounds (female)",12-15 years,Herding Group,40%,60%,80%,80%,80%,"['Black', 'Wheaten']"
Norwegian Elkhound,"Friendly, Confident, Dependable",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/03123918/Norwegian-Elkhound-sitting-in-the-snow-looking-back-over-its-shoulder.jpg,The Norwegian Elkhound is a robust spitz type known for his lush silver-gray coat and dignified but friendly demeanor. The durable Elkhound is among Europe's oldest dogs. They sailed with the Vikings and figure in Norse art and legend.,Ranks 97 of 197,"20.5 inches (male), 19.5 inches (female)","55 pounds (male), 48 pounds (female)",12-15 years,Hound Group,40%,60%,60%,60%,80%,"['Black & Gray', 'Black & Silver', 'Black White & Silver', 'Gray & Black', 'Gray Black & Silver', 'Silver & Black', 'Silver Gray & Black']"
Norwegian Lundehund,"Loyal, Energetic, Alert",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230304/Norwegian-Lundehund-On-White-03.jpg,"From Norway’s rocky island of Vaeroy, the uniquely constructed Norwegian Lundehund is the only dog breed created for the job of puffin hunting. With puffins now a protected species, today’s Lundehund is a friendly, athletic companion.",Ranks 191 of 197,"13-15 inches (male), 12-14 inches (female)",20-30 pounds,12-15 years,Non-Sporting Group,40%,60%,80%,60%,40%,"['Black', 'Gray', 'Reddish Brown', 'White', 'Yellow', 'Sable & White']"
Norwich Terrier,"Affectionate, Alert, Curious",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/11234249/Norwich-Terrier-standing-outdoors.jpg,"Norwich Terriers are plucky little earthdogs named for their hometown in England. The old cliché “a big dog in a small package” was coined for breeds like the Norwich, who can be oblivious to the fact that they are just 10 inches tall.",Ranks 108 of 197,10 inches,12 pounds,12-15 years,Terrier Group,40%,60%,80%,60%,80%,"['Black & Tan', 'Grizzle', 'Red', 'Wheaton']"
Nova Scotia Duck Tolling Retriever,"Affectionate, Intelligent, Outgoing",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212940/Nova-Scotia-Duck-Tolling-Retriever-slide1.jpg,"The smallest of the AKC’s retrievers, the Nova Scotia Duck Tolling Retriever is intelligent, affectionate, and eager to please. Play fetch with a tireless Toller until your right arm falls off, and he will ask you to throw left-handed.",Ranks 83 of 197,"18-21 inches (male), 17-20 inches (female)",35-50 pounds,12-14 years,Sporting Group,40%,60%,100%,80%,80%,"['Red', 'Red Gold', 'Buff']"
Old English Sheepdog,"Adaptable, Gentle, Smart",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12212937/Old-English-Sheepdogs-on-white-02.jpg,"The Old English Sheepdog is the archetypical shaggy dog, famous for his profuse coat and peak-a-boo hairdo, a distinctive bear-like gait, and a mellow, agreeable nature. The OES is a big, agile dog who enjoys exploring and a good romp.",Ranks 72 of 197,"22 inches & up (male), 21 inches & up (female)",60-100 pounds,10-12 years,Herding Group,60%,60%,60%,40%,60%,"['Blue & White', 'Blue Gray & White', 'Blue Merle & White', 'Gray & White', 'Grizzle & White', 'Black & White', 'Blue', 'Blue Gray', 'Blue Merle', 'Brown & White', 'Fawn & White', 'Gray', 'Grizzle', 'White']"
Otterhound,"Even-Tempered, Amiable, Boisterous",https://s3.amazonaws.com/cdn-origin-etr.akc.org/wp-content/uploads/2017/11/12230108/Otterhound-On-White-03.jpg,"Big, boisterous, and affectionate, the Otterhound was bred in medieval England for the now-outlawed activity of otter hunting. This scarce breed is known for his dense shaggy coat, webbed feet, acute sense of smell, and affinity for swimming.",Ranks 182 of 197,"27 inches (male), 24 inches (female)","115 pounds (male), 80 pounds (female)",10-13 years,Hound Group,40%,60%,60%,20%,60%,"['Black', 'Black & Tan', 'Blue & Cream', 'Gray', 'Liver & Tan', 'Tan', 'Wheaten', 'Blue', 'Lemon', 'White', 'White Black & Tan']"
